rule_index,name,description,rule,severity,mitre_attack_id,annotations,cluster,keywords
e10,Security Software Discovery via Grep,"Identifies the use of the grep command to discover known third-party macOS and Linux security tools, such as Antivirus
or Host Firewall details.
","process where event.type == ""start"" and
process.name : ""grep"" and user.id != ""0"" and
 not process.parent.executable : ""/Library/Application Support/*"" and
   process.args :
         (""Little Snitch*"",
          ""Avast*"",
          ""Avira*"",
          ""ESET*"",
          ""BlockBlock*"",
          ""360Sec*"",
          ""LuLu*"",
          ""KnockKnock*"",
          ""kav"",
          ""KIS"",
          ""RTProtectionDaemon*"",
          ""Malware*"",
          ""VShieldScanner*"",
          ""WebProtection*"",
          ""webinspectord*"",
          ""McAfee*"",
          ""isecespd*"",
          ""macmnsvc*"",
          ""masvc*"",
          ""kesl*"",
          ""avscan*"",
          ""guard*"",
          ""rtvscand*"",
          ""symcfgd*"",
          ""scmdaemon*"",
          ""symantec*"",
          ""sophos*"",
          ""osquery*"",
          ""elastic-endpoint*""
          ) and
   not (process.args : ""Avast"" and process.args : ""Passwords"")
",medium,['T1518'],{'guard'},184.0,"['grep', 'macos', 'antivirus', 'command', 'firewall']"
e11,Virtual Machine Fingerprinting via Grep,"An adversary may attempt to get detailed information about the operating system and hardware. This rule identifies
common locations used to discover virtual machine hardware by a non-root user. This technique has been used by the Pupy
RAT and other malware.
","process where event.type == ""start"" and
 process.name in (""grep"", ""egrep"") and user.id != ""0"" and
 process.args : (""parallels*"", ""vmware*"", ""virtualbox*"") and process.args : ""Manufacturer*"" and
 not process.parent.executable in (""/Applications/Docker.app/Contents/MacOS/Docker"", ""/usr/libexec/kcare/virt-what"")
",medium,['T1082'],"{'root', 'hardware', 'malware', 'pupy'}",,"['malware', 'virtual', 'adversary', 'hardware', 'root']"
e12,EggShell Backdoor Execution,Identifies the execution of and EggShell Backdoor. EggShell is a known post exploitation tool for macOS and Linux.,"event.category:process and event.type:(start or process_started) and process.name:espl and process.args:eyJkZWJ1ZyI6*
",high,['T1059'],{'eggshell'},185.0,"['eggshell', 'backdoor', 'execution', 'tool', 'exploitation']"
e14,Potential Reverse Shell Activity via Terminal,Identifies the execution of a shell process with suspicious arguments which may be indicative of reverse shell activity.,"process where event.type in (""start"", ""process_started"") and
  process.name in (""sh"", ""bash"", ""zsh"", ""dash"", ""zmodload"") and
  process.args : (""*/dev/tcp/*"", ""*/dev/udp/*"", ""*zsh/net/tcp*"", ""*zsh/net/udp*"") and

  /* noisy FPs */
  not (process.parent.name : ""timeout"" and process.executable : ""/var/lib/docker/overlay*"") and
  not process.command_line : (""*/dev/tcp/sirh_db/*"", ""*/dev/tcp/remoteiot.com/*"", ""*dev/tcp/elk.stag.one/*"", ""*dev/tcp/kafka/*"", ""*/dev/tcp/$0/$1*"", ""*/dev/tcp/127.*"", ""*/dev/udp/127.*"", ""*/dev/tcp/localhost/*"") and
  not process.parent.command_line : ""runc init""
",high,['T1059'],{'shell'},186.0,"['shell', 'execution', 'process', 'suspicious', 'arguments']"
e15,Suspicious JAVA Child Process,"Identifies suspicious child processes of the Java interpreter process. This may indicate an attempt to execute a
malicious JAR file or an exploitation attempt via a JAVA specific vulnerability.
","process where event.type in (""start"", ""process_started"") and
  process.parent.name : ""java"" and
  process.name : (""sh"", ""bash"", ""dash"", ""ksh"", ""tcsh"", ""zsh"", ""curl"", ""wget"")
",medium,['T1059'],,46.0,"['java', 'jar', 'interpreter', 'malicious', 'suspicious']"
e16,Potential JAVA/JNDI Exploitation Attempt,"Identifies an outbound network connection by JAVA to LDAP, RMI or DNS standard ports followed by a suspicious JAVA child
processes. This may indicate an attempt to exploit a JAVA/NDI (Java Naming and Directory Interface) injection vulnerability.
","sequence by host.id with maxspan=1m
 [network where event.action == ""connection_attempted"" and
  process.name : ""java"" and
  /*
     outbound connection attempt to
     LDAP, RMI or DNS standard ports
     by JAVA process
   */
  destination.port in (1389, 389, 1099, 53, 5353)] by process.pid
 [process where event.type == ""start"" and

  /* Suspicious JAVA child process */
  process.parent.name : ""java"" and
   process.name : (""sh"",
                   ""bash"",
                   ""dash"",
                   ""ksh"",
                   ""tcsh"",
                   ""zsh"",
                   ""curl"",
                   ""perl*"",
                   ""python*"",
                   ""ruby*"",
                   ""php*"",
                   ""wget"")] by process.parent.pid
",high,"['T1059', 'T1203']",,126.0,"['java', 'vulnerability', 'ldap', 'ports', 'exploit']"
e17,Hosts File Modified,"The hosts file on endpoints is used to control manual IP address to hostname resolutions. The hosts file is the first
point of lookup for DNS hostname resolution so if adversaries can modify the endpoint hosts file, they can route traffic
to malicious infrastructure. This rule detects modifications to the hosts file on Microsoft Windows, Linux (Ubuntu or
RHEL) and macOS systems.
","any where

  /* file events for creation; file change events are not captured by some of the included sources for linux and so may
     miss this, which is the purpose of the process + command line args logic below */
  (
   event.category == ""file"" and event.type in (""change"", ""creation"") and
     file.path : (""/private/etc/hosts"", ""/etc/hosts"", ""?:\\Windows\\System32\\drivers\\etc\\hosts"")
  )
  or

  /* process events for change targeting linux only */
  (
   event.category == ""process"" and event.type in (""start"") and
     process.name in (""nano"", ""vim"", ""vi"", ""emacs"", ""echo"", ""sed"") and
     process.args : (""/etc/hosts"")
  )
",medium,['T1565'],"{'route', 'dns'}",,"['hosts', 'hostname', 'dns', 'ip', 'endpoints']"
e18,Zoom Meeting with no Passcode,"This rule identifies Zoom meetings that are created without a passcode. Meetings without a passcode are susceptible to
Zoombombing. Zoombombing is carried out by taking advantage of Zoom sessions that are not protected with a passcode.
Zoombombing refers to the unwanted, disruptive intrusion, generally by Internet trolls and hackers, into a video
conference call. In a typical Zoombombing incident, a teleconferencing session is hijacked by the insertion of material
that is lewd, obscene, racist, or antisemitic in nature, typically resulting of the shutdown of the session.
","event.type:creation and event.module:zoom and event.dataset:zoom.webhook and
  event.action:meeting.created and not zoom.meeting.password:*
",medium,['T1190'],"{'zoom', 'obscene'}",187.0,"['zoombombing', 'zoom', 'disruptive', 'teleconferencing', 'meetings']"
e19,Modification of Standard Authentication Module or Configuration,"Adversaries may modify the standard authentication module for persistence via patching the normal authorization process
or modifying the login configuration to allow unauthorized access or elevate privileges.
","event.category:file and event.type:change and
  (file.name:pam_*.so or file.path:(/etc/pam.d/* or /private/etc/pam.d/*)) and
  process.executable:
    (* and
      not
      (
        /bin/yum or
        ""/usr/sbin/pam-auth-update"" or
        /usr/libexec/packagekitd or
        /usr/bin/dpkg or
        /usr/bin/vim or
        /usr/libexec/xpcproxy or
        /usr/bin/bsdtar or
        /usr/local/bin/brew or
        /usr/bin/rsync or
        /usr/bin/yum or
        /var/lib/docker/*/bin/yum or
        /var/lib/docker/*/bin/dpkg or
        ./merged/var/lib/docker/*/bin/dpkg or
        ""/System/Library/PrivateFrameworks/PackageKit.framework/Versions/A/XPCServices/package_script_service.xpc/Contents/MacOS/package_script_service""
      )
    ) and
  not file.path:
         (
           /tmp/snap.rootfs_*/pam_*.so or
           /tmp/newroot/lib/*/pam_*.so or
           /private/var/folders/*/T/com.apple.fileprovider.ArchiveService/TemporaryItems/*/lib/security/pam_*.so or
           /tmp/newroot/usr/lib64/security/pam_*.so
         )
",medium,"['T1543', 'T1556']","{'skidmap', 'privilege'}",188.0,"['authentication', 'authorization', 'persistence', 'unauthorized', 'privileges']"
e20,Bash Shell Profile Modification,"Both ~/.bash_profile and ~/.bashrc are files containing shell commands that are run when Bash is invoked. These files
are executed in a user's context, either interactively or non-interactively, when a user logs in so that their
environment is set correctly. Adversaries may abuse this to establish persistence by executing malicious content
triggered by a user’s shell.
","event.category:file and event.type:change and
  process.name:(* and not (sudo or
                           vim or
                           zsh or
                           env or
                           nano or
                           bash or
                           Terminal or
                           xpcproxy or
                           login or
                           cat or
                           cp or
                           launchctl or
                           java)) and
  not process.executable:(/Applications/* or /private/var/folders/* or /usr/local/*) and
  file.path:(/private/etc/rc.local or
             /etc/rc.local or
             /home/*/.profile or
             /home/*/.profile1 or
             /home/*/.bash_profile or
             /home/*/.bash_profile1 or
             /home/*/.bashrc or
             /Users/*/.bash_profile or
             /Users/*/.zshenv)
",medium,['T1546'],"{'shell', 'sudo'}",159.0,"['bash_profile', 'bashrc', 'bash', 'shell', 'commands']"
e21,SSH Authorized Keys File Modification,"The Secure Shell (SSH) authorized_keys file specifies which users are allowed to log into a server using public key
authentication. Adversaries may modify it to maintain persistence on a victim host by adding their own public key(s).
","event.category:file and event.type:(change or creation) and
 file.name:(""authorized_keys"" or ""authorized_keys2"") and
 not process.executable:
             (/Library/Developer/CommandLineTools/usr/bin/git or
              /usr/local/Cellar/maven/*/libexec/bin/mvn or
              /Library/Java/JavaVirtualMachines/jdk*.jdk/Contents/Home/bin/java or
              /usr/bin/vim or
              /usr/local/Cellar/coreutils/*/bin/gcat or
              /usr/bin/bsdtar or
              /usr/bin/nautilus or
              /usr/bin/scp or
              /usr/bin/touch or
              /var/lib/docker/* or
              /usr/bin/google_guest_agent)
",medium,['T1098'],"{'ssh', 'shell', 'nautilus'}",119.0,"['authorized_keys', 'authentication', 'ssh', 'secure', 'shell']"
e22,Potential Privilege Escalation via Sudoers File Modification,"A sudoers file specifies the commands users or groups can run and from which terminals. Adversaries can take advantage
of these configurations to execute commands as other users or spawn processes with higher privileges.
","event.category:process and event.type:start and process.args:(echo and *NOPASSWD*ALL*)
",high,['T1548'],"{'privilege', 'terminal', 'sudoers', 'sudo'}",127.0,"['sudoers', 'privileges', 'commands', 'adversaries', 'terminals']"
e23,Setuid / Setgid Bit Set via chmod,"An adversary may add the setuid or setgid bit to a file or directory in order to run a file with the privileges of the
owning user or group. An adversary can take advantage of this to either do a shell escape or exploit a vulnerability in
an application with the setuid or setgid bit to get code running in a different user’s context. Additionally,
adversaries can use this mechanism on their own malware to make sure they're able to execute in elevated contexts in the
future.
","event.category:process AND event.type:(start OR process_started) AND
 process.name:chmod AND process.args:(""+s"" OR ""u+s"" OR /4[0-9]{3}/ OR g+s OR /2[0-9]{3}/) AND
 NOT process.args:
           (
             /.*\/Applications\/VirtualBox.app\/.+/ OR
             /\/usr\/local\/lib\/python.+/ OR
             /\/var\/folders\/.+\/FP.*nstallHelper/ OR
             /\/Library\/Filesystems\/.+/ OR
             /\/usr\/lib\/virtualbox\/.+/ OR
             /\/Library\/Application.*/ OR
             ""/run/postgresql"" OR
             ""/var/crash"" OR
             ""/var/run/postgresql"" OR
             /\/usr\/bin\/.+/ OR /\/usr\/local\/share\/.+/ OR
             /\/Applications\/.+/ OR /\/usr\/libexec\/.+/ OR
             ""/var/metrics"" OR /\/var\/lib\/dpkg\/.+/ OR
             /\/run\/log\/journal\/.*/ OR
             \/Users\/*\/.minikube\/bin\/docker-machine-driver-hyperkit
           ) AND
 NOT process.parent.executable:
           (
             /\/var\/lib\/docker\/.+/ OR
             ""/System/Library/PrivateFrameworks/PackageKit.framework/Versions/A/XPCServices/package_script_service.xpc/Contents/MacOS/package_script_service"" OR
             ""/var/lib/dpkg/info/whoopsie.postinst""
           )
",low,['T1548'],{'privilege'},189.0,"['setuid', 'privileges', 'exploit', 'setgid', 'vulnerability']"
e24,Sudoers File Modification,"A sudoers file specifies the commands that users or groups can run and from which terminals. Adversaries can take
advantage of these configurations to execute commands as other users or spawn processes with higher privileges.
","event.category:file and event.type:change and file.path:(/etc/sudoers* or /private/etc/sudoers*)
",medium,['T1548'],"{'privilege', 'terminal', 'sudoers', 'sudo'}",127.0,"['sudoers', 'privileges', 'commands', 'adversaries', 'terminals']"
e25,Sudo Heap-Based Buffer Overflow Attempt,"Identifies the attempted use of a heap-based buffer overflow vulnerability for the Sudo binary in Unix-like systems
(CVE-2021-3156). Successful exploitation allows an unprivileged user to escalate to the root user.
","event.category:process and event.type:start and
  process.name:(sudo or sudoedit) and
  process.args:(*\\ and (""-i"" or ""-s""))
",high,['T1068'],"{'root', 'cve-2021-3156', 'sudo'}",,"['vulnerability', 'sudo', 'heap', 'unix', 'root']"
e26,Threat Intel Filebeat Module (v8.x) Indicator Match,"This rule is triggered when indicators from the Threat Intel Filebeat module (v8.x) has a match against local file or network observations.
","file.hash.*:* or file.pe.imphash:* or source.ip:* or destination.ip:* or url.full:* or registry.path:*
",critical,,"{'adfind', 'dridex', 'psexec'}",,"['filebeat', 'indicators', 'rule', 'file', 'observations']"
e27,Threat Intel Indicator Match,"This rule is triggered when indicators from the Threat Intel integrations have a match against local file or network observations.
","file.hash.*:* or file.pe.imphash:* or source.ip:* or destination.ip:* or url.full:* or registry.path:*
",critical,,"{'adfind', 'dridex', 'psexec'}",,"['indicators', 'intel', 'rule', 'observations', 'threat']"
e28,Suspicious Network Connection Attempt by Root,"Identifies an outbound network connection attempt followed by a session id change as the root user by the same process
entity. This particular instantiation of a network connection is abnormal and should be investigated as it may indicate
a potential reverse shell activity via a privileged process.
","sequence by process.entity_id with maxspan=1m
[network where event.type == ""start"" and event.action == ""connection_attempted"" and user.id == ""0"" and
    not process.executable : (""/bin/ssh"", ""/sbin/ssh"", ""/usr/lib/systemd/systemd"", ""/usr/sbin/sshd"")]
[process where event.action == ""session_id_change"" and user.id == ""0"" and
    not process.executable : (""/bin/ssh"", ""/sbin/ssh"", ""/usr/lib/systemd/systemd"", ""/usr/sbin/sshd"")]
",medium,"['T1095', 'T1548']","{'netstat', 'sudo', 'network', 'systemd'}",,"['session', 'connection', 'process', 'investigated', 'network']"
e29,Potential DNS Tunneling via Iodine,"Iodine is a tool for tunneling Internet protocol version 4 (IPV4) traffic over the DNS protocol to circumvent firewalls,
network security groups, and network access lists while evading detection.
","event.category:process and event.type:(start or process_started) and process.name:(iodine or iodined)
",high,['T1572'],"{'iodine', 'dns'}",190.0,"['iodine', 'ipv4', 'firewalls', 'tunneling', 'protocol']"
e30,Potential Protocol Tunneling via EarthWorm,"Identifies the execution of the EarthWorm tunneler. Adversaries may tunnel network communications to and from a victim
system within a separate protocol to avoid detection and network filtering, or to enable access to otherwise unreachable
systems.
","process where event.type == ""start"" and
 process.args : ""-s"" and process.args : ""-d"" and process.args : ""rssocks""
",medium,['T1572'],{'earthworm'},191.0,"['tunneler', 'tunnel', 'earthworm', 'adversaries', 'protocol']"
e31,Potential SSH Password Guessing,"Identifies multiple SSH login failures followed by a successful one from the same source address. Adversaries can attempt
to login into multiple users with a common or known password to gain access to accounts.
","sequence by host.id, source.ip, user.name with maxspan=3s
  [authentication where event.action  in (""ssh_login"", ""user_login"") and
   event.outcome == ""failure"" and source.ip != null and source.ip != ""0.0.0.0"" and source.ip != ""::"" ] with runs=2

  [authentication where event.action  in (""ssh_login"", ""user_login"") and
   event.outcome == ""success"" and source.ip != null and source.ip != ""0.0.0.0"" and source.ip != ""::"" ]
",medium,['T1110'],"{'ssh', 'password'}",193.0,"['ssh', 'adversaries', 'login', 'failures', 'password']"
e32,Sensitive Files Compression,"Identifies the use of a compression utility to collect known files containing sensitive information, such as credentials
and system configurations.
","event.category:process and event.type:start and
  process.name:(zip or tar or gzip or hdiutil or 7z) and
  process.args:
    (
      /root/.ssh/id_rsa or
      /root/.ssh/id_rsa.pub or
      /root/.ssh/id_ed25519 or
      /root/.ssh/id_ed25519.pub or
      /root/.ssh/authorized_keys or
      /root/.ssh/authorized_keys2 or
      /root/.ssh/known_hosts or
      /root/.bash_history or
      /etc/hosts or
      /home/*/.ssh/id_rsa or
      /home/*/.ssh/id_rsa.pub or
      /home/*/.ssh/id_ed25519 or
      /home/*/.ssh/id_ed25519.pub or
      /home/*/.ssh/authorized_keys or
      /home/*/.ssh/authorized_keys2 or
      /home/*/.ssh/known_hosts or
      /home/*/.bash_history or
      /root/.aws/credentials or
      /root/.aws/config or
      /home/*/.aws/credentials or
      /home/*/.aws/config or
      /root/.docker/config.json or
      /home/*/.docker/config.json or
      /etc/group or
      /etc/passwd or
      /etc/shadow or
      /etc/gshadow
    )
",medium,"['T1552', 'T1560']","{'tntbotinger', 'teamtnt'}",18.0,"['compression', 'files', 'utility', 'credentials', 'information']"
e33,Potential Linux SSH Brute Force Detected,"Identifies multiple consecutive login failures targeting an user account from the same source address and within a
short time interval. Adversaries will often brute force login attempts across multiple users with a common or known
password, in an attempt to gain access to accounts.
","sequence by host.id, source.ip, user.name with maxspan=10s
  [authentication where event.action  in (""ssh_login"", ""user_login"") and
   event.outcome == ""failure"" and source.ip != null and source.ip != ""0.0.0.0"" and source.ip != ""::"" ] with runs=10
",medium,['T1110'],,192.0,"['brute', 'attempts', 'login', 'adversaries', 'failures']"
e34,Potential SSH Brute Force Detected on Privileged Account,"Identifies multiple consecutive login failures targeting a root user account from the same source address and within a
short time interval. Adversaries will often brute force login attempts on privileged accounts with a common or known
password, in an attempt to gain privileged access to systems.
","sequence by host.id, source.ip with maxspan=10s
  [authentication where event.action  in (""ssh_login"", ""user_login"") and
   event.outcome == ""failure"" and source.ip != null and source.ip != ""0.0.0.0"" and
   source.ip != ""::"" and  user.name in (""*root*"" , ""*admin*"")] with runs=3
",high,['T1110'],{'root'},192.0,"['brute', 'attempts', 'failures', 'root', 'login']"
e35,Potential OpenSSH Backdoor Logging Activity,"Identifies a Secure Shell (SSH) client or server process creating or writing to a known SSH backdoor log file.
Adversaries may modify SSH related binaries for persistence or credential access via patching sensitive functions to
enable unauthorized access or to log SSH credentials for exfiltration.
","file where event.type == ""change"" and process.executable : (""/usr/sbin/sshd"", ""/usr/bin/ssh"") and
  (
    (file.name : ("".*"", ""~*"", ""*~"") and not file.name : ("".cache"", "".viminfo"", "".bash_history"")) or
    file.extension : (""in"", ""out"", ""ini"", ""h"", ""gz"", ""so"", ""sock"", ""sync"", ""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"") or
    file.path :
    (
      ""/private/etc/*--"",
      ""/usr/share/*"",
      ""/usr/include/*"",
      ""/usr/local/include/*"",
      ""/private/tmp/*"",
      ""/private/var/tmp/*"",
      ""/usr/tmp/*"",
      ""/usr/share/man/*"",
      ""/usr/local/share/*"",
      ""/usr/lib/*.so.*"",
      ""/private/etc/ssh/.sshd_auth"",
      ""/usr/bin/ssd"",
      ""/private/var/opt/power"",
      ""/private/etc/ssh/ssh_known_hosts"",
      ""/private/var/html/lol"",
      ""/private/var/log/utmp"",
      ""/private/var/lib"",
      ""/var/run/sshd/sshd.pid"",
      ""/var/run/nscd/ns.pid"",
      ""/var/run/udev/ud.pid"",
      ""/var/run/udevd.pid""
    )
  )
",high,"['T1554', 'T1556']","{'ssh', 'shell', 'sshdoor'}",193.0,"['ssh', 'backdoor', 'shell', 'secure', 'unauthorized']"
e36,Attempt to Disable Syslog Service,"Adversaries may attempt to disable the syslog service in an attempt to an attempt to disrupt event logging and evade
detection by security controls.
","event.category:process and event.type:(start or process_started) and
  ((process.name:service and process.args:stop) or
     (process.name:chkconfig and process.args:off) or
     (process.name:systemctl and process.args:(disable or stop or kill)))
  and process.args:(syslog or rsyslog or ""syslog-ng"")
",medium,['T1562'],{'stop'},194.0,"['syslog', 'logging', 'adversaries', 'disable', 'security']"
e37,Base16 or Base32 Encoding/Decoding Activity,Adversaries may encode/decode data in an attempt to evade detection by host- or network-based security controls.,"event.category:process and event.type:(start or process_started) and
  process.name:(base16 or base32 or base32plain or base32hex)
",low,"['T1140', 'T1027']",,195.0,"['security', 'adversaries', 'decode', 'encode', 'evade']"
e38,File made Immutable by Chattr,"Detects a file being made immutable using the chattr binary. Making a file immutable means it cannot be deleted or renamed, no link can be created to this file, most of the file's metadata can not be modified, and the file can not be opened in write mode. Threat actors will commonly utilize this to prevent tampering or modification of their malicious files or any system files they have modified for purposes of persistence (e.g .ssh, /etc/passwd, etc.).
","process where event.type == ""start"" and user.name == ""root"" and process.executable : ""/usr/bin/chattr"" and process.args : (""-*i*"", ""+*i*"") and not process.parent.executable: ""/lib/systemd/systemd""
",medium,['T1222'],{'systemd'},,"['immutable', 'file', 'files', 'tampering', 'malicious']"
e39,Potential Disabling of SELinux,"Identifies potential attempts to disable Security-Enhanced Linux (SELinux), which is a Linux kernel security feature to
support access control policies. Adversaries may disable security tools to avoid possible detection of their tools and
activities.
","event.category:process and event.type:(start or process_started) and process.name:setenforce and process.args:0
",medium,['T1562'],,196.0,"['selinux', 'security', 'linux', 'disable', 'kernel']"
e40,File Deletion via Shred,"Malware or other files dropped or created on a system by an adversary may leave traces behind as to what was done within
a network and how. Adversaries may remove these files over the course of an intrusion to keep their footprint low or
remove them at the end as part of the post-intrusion cleanup process.
","event.category:process and event.type:(start or process_started) and process.name:shred and
  process.args:(""-u"" or ""--remove"" or ""-z"" or ""--zero"")
",low,['T1070'],{'malware'},36.0,"['malware', 'files', 'cleanup', 'traces', 'intrusion']"
e41,File Permission Modification in Writable Directory,"Identifies file permission modifications in common writable directories by a non-root user. Adversaries often drop files
or payloads into a writable directory and change permissions prior to execution.
","event.category:process and event.type:(start or process_started) and
  process.name:(chmod or chown or chattr or chgrp) and
  process.working_directory:(/tmp or /var/tmp or /dev/shm) and
  not user.name:root
",low,['T1222'],{'permission'},2.0,"['permissions', 'permission', 'files', 'directories', 'writable']"
e42,Creation of Hidden Files and Directories via CommandLine,"Users can mark specific files as hidden simply by putting a ""."" as the first character in the file or folder name.
Adversaries can use this to their advantage to hide files and folders on the system for persistence and defense evasion.
This rule looks for hidden files or folders in common writable directories.
","process where event.type in (""start"", ""process_started"") and
  process.working_directory in (""/tmp"", ""/var/tmp"", ""/dev/shm"") and
  process.args regex~ """"""\.[a-z0-9_\-][a-z0-9_\-\.]{1,254}"""""" and
  not process.name in (""ls"", ""find"", ""grep"")
",medium,['T1564'],{'hidden'},197.0,"['hidden', 'hide', 'files', 'folders', 'folder']"
e43,Creation of Hidden Shared Object File,"Identifies the creation of a hidden shared object (.so) file. Users can mark specific files as hidden simply by putting a ""."" as the first character in the file or folder name.
Adversaries can use this to their advantage to hide files and folders on the system for persistence and defense evasion.
","file where event.action : ""creation"" and file.extension == ""so"" and file.name : "".*.so""
",medium,['T1564'],{'hidden'},197.0,"['files', 'file', 'hidden', 'folders', 'folder']"
